abbrv,name,shortname,ftabbrv,slug,color,secondarycolor
Ind K,Independent K,Independent K,Ind K,ind-k,,
Clause 28,Clause 28 Children's Protection Christian Democrats,"Clause 28, Children's Protection Christian Democrats",Clause 28,clause-28,,
UPS,Unity for Peace and Socialism,Unity for Peace and Socialism,UPS,ups,,
CNBPG,Community Need Before Private Greed,Community Need Before Private Greed,CNBPG,cnbpg,,
Ind Fed,Independents Federation UK - Alliance for Democracy,Independents Federation UK,Ind Fed,ind-fed,,
AFC,Alliance for Change,Alliance for Change,AFC,afc,,
SPGB,Socialist Party of Great Britain,Socialist Party of Great Britain,SPGB,spgb,,
Ind Rantzen,Independent Rantzen,Independent Rantzen,Ind Rantzen,ind-rantzen,,
Macc Ind,The Macclesfield Independent,The Macclesfield Independent,Macc Ind,macc-ind,,
F and R,For Freedom and Responsibility,For Freedom and Responsibility,F and R,f-and-r,,
SEP,Socialist Equality Party,Socialist Equality Party,SEP,sep,,
Mansfield Ind,Mansfield Independent Forum,Mansfield Independent Forum,Mansfield Ind,mansfield-ind,,
RA,Solihull and Meriden Residents' Association,Solihull and Meriden Residents' Association,RA,ra,,
NFP,Nationwide Reform Party,Nationwide Reform Party,NFP,nfp,,
Free Scot,Free Scotland Party,Free Scotland Party,Free Scot,free-scot,,
AD,Apolitical Democrats,Apolitical Democrats,AD,ad,,
NSPS,Northampton - Save Our Public Services,Northampton - Save Our Public Services,NSPS,nsps,,
Save QM,Independents to Save Queen Mary's Hospital,Independents to Save Queen Mary's Hospital,Save QM,save-qm,,
Parenting,Equal Parenting Alliance,Equal Parenting Alliance,Parenting,parenting,,
Paisley,Pride in Paisley Party,Pride in Paisley Party,Paisley,paisley,,
CSP,Common Sense Party,Common Sense Party,CSP,csp,,
Nobody,Nobody Party,Nobody Party,Nobody,nobody,,
IZB,Islam Zinda Baad Platform,Islam Zinda Baad Platform,IZB,izb,,
UKC,UK Community Issues Party,UK Community Issues Party,UKC,ukc,,
Online,Seeks A Worldwide Online Participatory Directory,Seeks A Worldwide Online Participatory Directory,Online,online,,
Youth,Youth Party,Youth Party,Youth,youth,,
Currency,Virtue Currency Cognitive Appraisal Party,Virtue Currency Cognitive Appraisal Party,Currency,currency,,
Leave EU,Independent Leave The EU Alliance,Independent Leave The EU Alliance,Leave EU,leave-eu,,
Anti-War,Fight for an Anti-War Government,Fight for an Anti-War Government,Anti-War,anti-war,,
YPB,Your Party (Banbury),Your Party (Banbury),YPB,ypb,,
CIP,Campaign for Independent Politicians,Campaign for Independent Politicians,CIP,cip,,
Cornish D,Cornish Democrats,Cornish Democrats,Cornish D,cornish-d,,
No vote,No candidate deserves my vote,No candidate deserves my vote,No vote,no-vote,,
City Ind,City Independent,City Independent,City Ind,city-ind,,
Staffs Ind,Staffordshire Independent Group,Staffordshire Independent Group,Staffs Ind,staffs-ind,,
New Party,The New Party,The New Party,New Party,new-party,,
UK Integrity,Independents Federation UK-Honest Integrity Democracy,Independents Federation UK-Honest Integrity Democracy,UK Integrity,uk-integrity,,
Poetry,The True English (Poetry) Party,The True English (Poetry) Party,Poetry,poetry,,
Ind People,Independent People Together,Independent People Together,Ind People,ind-people,,
WP,Workers' Party,Workers' Party,WP,wp,,
Soc,Socialist Party,Socialist Party,Soc,soc,,
Dem Lab,Democratic Labour Party,Democratic Labour Party,Dem Lab,dem-lab,,
Christian,Christian,Christian,Christian,christian,,
Ind CHC,Independent Community and Health Concern,Independent Community and Health Concern,Ind CHC,ind-chc,,
